goos: darwin
goarch: arm64
pkg: github.com/phiryll/lexy
BenchmarkBool/put-10                 	553443202	         2.115 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	551462247	         2.228 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	544087112	         2.093 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	482830430	         2.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	592833385	         2.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	546007586	         2.120 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	576939488	         2.128 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	552958123	         2.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	571039945	         2.197 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	525158942	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	466141533	         2.267 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	518687143	         2.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	459729456	         2.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	472182002	         2.198 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	567681552	         2.157 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	594027424	         2.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	530523133	         2.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	537025682	         2.060 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	556357250	         2.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/put-10                 	490205922	         2.209 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	499619907	         2.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	556808482	         2.226 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	526819795	         2.182 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	568903047	         2.306 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	537592257	         2.219 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	575604675	         2.166 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	570614706	         2.174 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	453069402	         2.331 ns/op	       0 B/op	       0 allocs/op
